batsman,batsman_runs,balls_faced,strike_rate,wickets,is_four,is_six
RP Singh,52,78,66.66666666666666,90.0,2,1
RR Bhatkal,0,2,0.0,0.0,0,0
RR Pant,1792,1104,162.31884057971016,0.0,154,94
RR Powar,67,64,104.6875,13.0,6,1
RR Raje,20,18,111.11111111111111,6.0,1,1
RR Rossouw,53,51,103.921568627451,0.0,3,3
RR Sarwan,73,78,93.58974358974359,0.0,6,1
RS Bopara,531,468,113.46153846153845,11.0,39,16
RS Gavaskar,2,8,25.0,0.0,0,0
RS Sodhi,4,2,200.0,0.0,1,0
RT Ponting,91,129,70.54263565891473,0.0,5,2
RV Gomez,50,53,94.33962264150944,5.0,5,1
RV Uthappa,4446,3492,127.31958762886597,0.0,436,156
Rashid Khan,109,67,162.6865671641791,55.0,5,9
S Anirudha,136,121,112.39669421487604,0.0,9,7
S Aravind,59,59,100.0,45.0,7,0
S Badree,13,25,52.0,11.0,0,0
S Badrinath,1441,1245,115.74297188755021,0.0,154,28
S Chanderpaul,25,33,75.75757575757575,0.0,4,0
S Curran,95,55,172.72727272727272,10.0,13,3
S Dhawan,4632,3776,122.66949152542372,4.0,526,96
S Dube,40,33,121.21212121212122,0.0,1,3
S Gill,517,384,134.63541666666669,0.0,45,15
S Gopal,131,120,109.16666666666666,38.0,14,1
S Hetmyer,93,76,122.36842105263158,0.0,4,7
S Kaul,12,28,42.857142857142854,49.0,0,0
S Kaushik,0,1,0.0,6.0,0,0
S Ladda,0,10,0.0,5.0,0,0
S Lamichhane,0,1,0.0,13.0,0,0
S Mavi,13,15,86.66666666666667,5.0,1,0
S Nadeem,32,79,40.50632911392405,42.0,1,0
S Narwal,37,29,127.58620689655173,5.0,6,0
S Rana,91,82,110.97560975609757,0.0,9,1
S Randiv,2,4,50.0,6.0,0,0
S Rutherford,82,55,149.0909090909091,1.0,4,7
S Sharma,8,4,200.0,12.0,1,0
S Singh,17,18,94.44444444444444,0.0,1,1
S Sohal,368,311,118.32797427652733,0.0,34,18
S Sreesanth,34,57,59.64912280701754,41.0,6,0
S Sriram,31,38,81.57894736842105,0.0,3,0
S Tyagi,3,4,75.0,6.0,0,0
S Vidyut,145,115,126.08695652173914,1.0,21,3
SA Abbott,15,13,115.38461538461537,0.0,1,1
SA Asnodkar,423,352,120.17045454545455,0.0,56,10
SA Yadav,608,479,126.93110647181629,0.0,54,21
SB Bangar,49,58,84.48275862068965,4.0,1,3
SB Jakati,28,30,93.33333333333333,47.0,3,0
SB Joshi,6,16,37.5,1.0,0,0
SB Styris,131,134,97.76119402985076,8.0,10,3
